Altium Designer Pick and Place Locations
C:\Users\c3206230\Dropbox\2019 Soft Robotics\Toolkit\PCBs\PCB_DueAdapterL2\PCB_DueAdapterL2\Project Outputs for DueShieldL2\Pick Place for DueShieldL2.txt

========================================================================================================================
File Design Information:

Date:       20/01/21
Time:       15:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment          Layer       Footprint             Center-X(mm) Center-Y(mm) Rotation Description                                                                                   
J11        SSW-103-01-T-D   BottomLayer SMTC-SSW-103-01-X-D   -22.9100mm   -49.6700mm   180      "SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 6-Pin, Female, RoHS" 
R24        10K              TopLayer    RESC0603(1608)_N      -65.9024mm   -50.0544mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R23        10K              TopLayer    RESC0603(1608)_N      -73.3136mm   -50.0544mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R22        10K              TopLayer    RESC0603(1608)_N      -65.9024mm   -45.6094mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R21        10K              TopLayer    RESC0603(1608)_N      -73.3136mm   -45.6094mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R20        10K              TopLayer    RESC0603(1608)_N      -71.6894mm   -50.0544mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R19        10K              TopLayer    RESC0603(1608)_N      -79.0286mm   -50.0544mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R18        10K              TopLayer    RESC0603(1608)_N      -71.6894mm   -45.6094mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R17        10K              TopLayer    RESC0603(1608)_N      -79.0286mm   -45.6094mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R16        10K              TopLayer    RESC0603(1608)_N      -65.9024mm   -41.1644mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R15        10K              TopLayer    RESC0603(1608)_N      -73.3136mm   -41.1644mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R14        10K              TopLayer    RESC0603(1608)_N      -65.9024mm   -36.7194mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R13        10K              TopLayer    RESC0603(1608)_N      -73.3136mm   -36.7194mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R12        10K              TopLayer    RESC0603(1608)_N      -71.6894mm   -41.1644mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R11        10K              TopLayer    RESC0603(1608)_N      -79.0286mm   -41.1644mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R10        10K              TopLayer    RESC0603(1608)_N      -71.6894mm   -36.7194mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R9         10K              TopLayer    RESC0603(1608)_N      -79.0286mm   -36.7194mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R8         10K              TopLayer    RESC0603(1608)_N      -65.9024mm   -32.2744mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R7         10K              TopLayer    RESC0603(1608)_N      -73.3136mm   -32.2744mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R6         10K              TopLayer    RESC0603(1608)_N      -65.9024mm   -27.7776mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R5         10K              TopLayer    RESC0603(1608)_N      -73.3136mm   -27.7116mm   270      "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R4         10K              TopLayer    RESC0603(1608)_N      -71.6894mm   -32.2744mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R3         10K              TopLayer    RESC0603(1608)_N      -79.0286mm   -32.2744mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
R2         10K              TopLayer    RESC0603(1608)_N      -71.6894mm   -27.7116mm   90       "10K 0.1W 1% 0603 (1608 Metric)  SMD"                                                         
