Change Component Description : Designator=D4_OnOff1 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff2 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff3 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff4 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff5 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff6 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff7 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff8 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff9 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff10 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff11 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff12 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff13 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff14 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff15 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff16 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff17 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff18 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff19 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff20 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff21 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff22 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff23 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff24 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff25 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
Change Component Description : Designator=D4_OnOff26 Old Description=SMD mono-color Chip LED, WL-SMCW, Green New Description=SMD mono-color Chip LED, WL-SMCW, Red
