Altium Designer Pick and Place Locations
C:\Users\c3206230\Dropbox\2019 Soft Robotics\Toolkit\PCBs\PCB_IC\PCB_IC\Project Outputs for PCB_IC\Pick Place for PCB_IC.txt

========================================================================================================================
File Design Information:

Date:       22/01/21
Time:       15:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator  Comment                   Layer    Footprint             Center-X(mm) Center-Y(mm) Rotation Description                                                                   
D8          "LED Green"               TopLayer 0603_A                80.4887mm    128.2062mm   180      "SMD mono-color Chip LED, WL-SMCW, Green"                                     
C10_Prop1   "10uF 50V 1206"           TopLayer CAPC1206(3216)190_N   28.9396mm    111.2613mm   90       "CAP 10uF 50V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD"                    
C10_Prop2   "10uF 50V 1206"           TopLayer CAPC1206(3216)190_N   41.4364mm    119.1768mm   360      "CAP 10uF 50V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD"                    
C10_Prop3   "10uF 50V 1206"           TopLayer CAPC1206(3216)190_N   60.3340mm    115.9844mm   180      "CAP 10uF 50V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD"                    
C10_Prop4   "10uF 50V 1206"           TopLayer CAPC1206(3216)190_N   41.1824mm    128.7526mm   360      "CAP 10uF 50V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD"                    
C10_Prop5   "10uF 50V 1206"           TopLayer CAPC1206(3216)190_N   61.5430mm    129.0888mm   360      "CAP 10uF 50V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD"                    
C13         "470uF 50V AuPoly"        TopLayer CAPAE137130X163M      59.4638mm    140.4620mm   360      ""                                                                            
C12         "470uF 50V AuPoly"        TopLayer CAPAE137130X163M      75.7872mm    140.4620mm   180      ""                                                                            
C1          "100nF 50V 1206"          TopLayer FP-CL31-IPC_B         19.3130mm    146.9470mm   180      "Cap Ceramic 100nF 50V X7R ±10% SMD 1206 +125°C Embossed T/R"                 
P5          PHT-117-01-L-D            TopLayer PHT-117-01-L-D        78.1774mm    96.6978mm    270      ""                                                                            
P4          PHT-117-01-L-D            TopLayer PHT-117-01-L-D        78.1774mm    39.3200mm    270      ""                                                                            
J10         WE-CN-2P-F-R34            TopLayer 613034243121          83.2448mm    96.6978mm    270      ""                                                                            
J3          WE-CN-2P-F-R34            TopLayer 613034243121          83.2194mm    39.2930mm    270      ""                                                                            
C9_Prop5    "47uF 50V AuPoly"         TopLayer EEH-ZA1H220P          70.2908mm    129.0320mm   270      ""                                                                            
